timestamp,open,high,low,close,volume
2020-05-22,119.3700,119.4700,117.5900,118.3900,4180800
2020-05-21,120.9900,121.7200,118.9700,119.1200,4000900
2020-05-20,120.9300,122.4700,120.6000,121.3800,3840700
2020-05-19,121.1900,122.1700,120.1400,120.2900,3241100
2020-05-18,119.8800,122.3600,119.7500,121.5600,4207600
2020-05-15,115.9300,117.3900,115.2500,116.9800,4786300
2020-05-14,114.5700,117.0900,111.8100,116.9500,5259400
2020-05-13,119.9500,119.9900,114.8500,115.7300,5882800
2020-05-12,123.0100,124.3200,120.2600,120.2600,4784500
2020-05-11,121.8100,123.4500,120.6700,122.5900,3535300
2020-05-08,122.6700,123.2300,121.0600,122.9900,5003900
2020-05-07,122.9800,123.2600,120.8500,121.2300,4412600
2020-05-06,123.2400,124.0500,122.4100,123.1700,3864600
2020-05-05,123.3900,124.3200,122.4700,122.5800,3899400
2020-05-04,120.8200,121.9700,119.3900,121.6800,4017900
2020-05-01,123.1900,123.4700,121.3900,121.8700,4925500
2020-04-30,126.5200,127.2700,125.2200,125.5600,6635800
2020-04-29,128.8800,129.3100,127.5300,128.6900,5257600
2020-04-28,128.0300,128.2000,125.3800,126.2700,4778100
2020-04-27,125.5600,126.9900,125.4700,125.9200,4923800
2020-04-24,122.4100,125.0000,120.7600,124.7200,4987300
2020-04-23,119.5700,123.0300,119.1200,121.3500,6881600
2020-04-22,119.8700,120.3300,117.5500,119.3100,7087900
2020-04-21,114.0000,117.1500,112.0600,116.7600,14349000
2020-04-20,119.1500,122.8600,118.1400,120.4100,8181700
2020-04-17,119.3000,120.3900,117.9200,120.1200,4966000
2020-04-16,119.0100,119.7500,114.4200,115.7300,6457600
2020-04-15,119.1200,120.1900,116.7600,118.6900,5637300
2020-04-14,123.4600,125.1800,122.6200,123.9100,5088700
2020-04-13,121.6300,121.8000,118.0400,121.1500,5119700
2020-04-09,120.4800,122.9200,120.1700,121.5000,5576800
2020-04-08,116.3100,119.9600,115.0700,119.2900,5158600
2020-04-07,118.8000,119.5700,114.8700,114.9400,5595300
2020-04-06,110.3500,115.6300,110.1300,114.8200,7034200
2020-04-03,108.9200,110.0700,104.9200,106.3400,4538800
2020-04-02,105.3700,110.3200,105.1400,110.0000,6328700
2020-04-01,106.3600,109.9200,104.5200,105.1400,6112900
2020-03-31,112.0000,113.8100,110.1700,110.9300,6343300
2020-03-30,108.0900,113.4600,107.8100,112.9300,5564500
2020-03-27,108.5800,111.5000,107.6500,108.0300,6423000
2020-03-26,106.9100,113.1500,105.5700,112.8900,7153500
2020-03-25,105.4800,112.4800,102.8300,105.8500,8654000
2020-03-24,99.9900,106.0400,99.2600,105.4800,7973900
2020-03-23,94.6000,97.7400,90.5600,94.7700,9729400
2020-03-20,100.9200,100.9900,94.7100,95.3900,10546500
2020-03-19,102.3300,103.6900,98.2400,100.3400,8396500
2020-03-18,99.4100,106.9300,99.4000,103.5500,8772500
